Altium Designer Pick and Place Locations
D:\project\CameraCapture\hardware\sch&pcb\CameraMainBoard\Project Outputs for CameraMainBoard\Pick Place for Camera-M-PCB.csv

========================================================================================================================
File Design Information:

Date:       03/10/23
Time:       15:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentLink1URL"
"C17","10uF","TopLayer","C0603_M","6.3500","27.9399","90","贴片电容/MLCC电容",""
"C16","100nF","BottomLayer","C0603_M","24.2316","24.1299","90","贴片电容/MLCC电容",""
"C15","10uF","BottomLayer","C0603_M","25.6540","24.1170","90","贴片电容/MLCC电容",""
"C14","2.2uF","TopLayer","C0603_M","8.2550","7.8995","270","贴片电容/MLCC电容",""
"C13","10nF/NC","BottomLayer","C0603_M","27.1526","31.6991","90","贴片电容/MLCC电容",""
"C12","100nF","BottomLayer","C0603_M","26.3127","27.7832","180","贴片电容/MLCC电容",""
"C11","10uF","BottomLayer","C0603_M","26.3127","29.1802","180","贴片电容/MLCC电容",""
"C10","100nF","BottomLayer","C0603_M","20.6204","31.0135","270","贴片电容/MLCC电容",""
"C9","10uF","BottomLayer","C0603_M","21.9710","31.0135","270","贴片电容/MLCC电容",""
"C8","100nF","TopLayer","C0603_M","30.4801","25.6540","180","贴片电容/MLCC电容",""
"C7","22uF","TopLayer","C0805_M","30.4800","22.0980","180","贴片电容/MLCC电容",""
"C6","22uF","TopLayer","C0805_M","30.4800","24.0030","180","贴片电容/MLCC电容",""
"C5","22uF","TopLayer","C0805_M","32.3850","19.1770","270","贴片电容/MLCC电容",""
"C4","0.1uF","TopLayer","C0603_M","28.7528","4.7243","90","贴片电容/MLCC电容",""
"C3","2.2uF","TopLayer","C0603_M","9.1440","27.9530","90","贴片电容/MLCC电容",""
"C2","1uF","TopLayer","C0603_M","29.4770","34.9250","180","贴片电容/MLCC电容",""
"C1","10nF/NC","TopLayer","C0603_M","17.9072","45.7930","0","贴片电容/MLCC电容",""
